source,target
n0,n5491
n0,n3915
n0,n1494
n0,n2574
n0,n536
n0,n2879
n3,n6263
n3,n4465
n3,n2646
n3,n6955
n3,n860
n3,n5073
n3,n4401
n3,n1539
n3,n2252
n3,n5704
n3,n3085
n4,n240
n5,n4972
n6,n7131
n7,n6309
n8,n5293
n8,n2556
n8,n4783
n8,n2396
n9,n612
n11,n5063
n11,n2522
n11,n1854
n13,n6243
n13,n3057
n13,n190
n13,n6889
n13,n5899
n13,n825
n13,n3953
n13,n4119
n13,n2032
n13,n2110
n13,n4178
n13,n5520
n13,n6258
n13,n731
n13,n2531
n13,n5018
n13,n6062
n13,n2161
n13,n4798
n13,n7006
n13,n1540
n13,n4397
n13,n2137
n13,n726
n13,n657
n13,n772
n13,n3394
n13,n2227
n13,n827
n13,n6527
n13,n2106
n13,n2962
n13,n1527
n13,n6529
n13,n3962
n13,n22
n13,n3246
n13,n6203
n13,n3900
n13,n2568
n13,n5902
n13,n6784
n13,n6242
n13,n6936
n13,n6873
n13,n3820
n13,n5943
n13,n4703
n13,n6701
n13,n7170
n13,n4431
n13,n5108
n13,n2979
n13,n3963
n13,n236
n13,n1127
n13,n3151
n13,n6498
n13,n4113
n13,n4111
n13,n1868
n13,n5868
n13,n3552
n13,n985
n13,n2276
n13,n1937
n13,n2062
n13,n1965
n13,n577
n13,n552
n13,n5596
n13,n6124
n13,n980
n13,n738
n13,n4174
n13,n794
n13,n6641
n14,n5885
n14,n1012
n14,n3604
n14,n4859
n14,n4238
n14,n3422
n14,n3856
n14,n6013
n15,n2984
n18,n2998
n18,n2617
n18,n1587
n18,n1881
n18,n2937
n18,n2359
n18,n5379
n21,n2396
n21,n4943
n23,n4218
n24,n296
n24,n2984
n24,n4474
n24,n6003
n24,n89
n24,n6916
n24,n5207
n25,n584
n25,n6541
n25,n5743
n27,n6758
n28,n2495
n28,n6148
n28,n3402
n28,n2550
n28,n5448
n28,n3689
n28,n2995
n28,n595
n28,n3678
n28,n1273
n29,n1854
n29,n6642
n31,n3145
n31,n2157
n31,n7019
n36,n5073
n37,n3008
n38,n4544
n39,n1982
n39,n6011
n39,n4351
n39,n6847
n41,n6899
n50,n4965
n52,n5063
n52,n2688
n52,n1854
n52,n3885
n52,n6978
n52,n6642
n52,n974
n52,n3008
n52,n2793
n52,n3355
n52,n6541
n54,n659
n54,n1518
n54,n5012
n54,n1540
n56,n2207
n56,n5218
n57,n6287
n58,n2701
n64,n1364
n65,n5277
n65,n2574
n65,n4353
n65,n2556
n66,n2886
n66,n818
n67,n1270
n67,n3275
n67,n5204
n67,n4266
n67,n2255
n67,n6521
n69,n3317
n69,n5502
n71,n3060
n71,n1027
n72,n5224
n76,n3145
n76,n5964
n80,n5063
n81,n4525
n81,n5055
n81,n7110
n81,n3004
n81,n513
n81,n1236
n81,n5748
n81,n1243
n81,n1430
n81,n4206
n81,n2726
n81,n2574
n81,n1148
n81,n3924
n81,n1978
n81,n1988
n81,n3858
n81,n5226
n81,n3513
n81,n536
n81,n3740
n81,n5317
n81,n2162
n81,n2706
n81,n2477
n81,n3288
n81,n2879
n81,n409
n81,n1300
n81,n4742
n81,n4050
n81,n2281
n81,n1862
n81,n2535
n81,n6823
n81,n4251
n81,n1574
n81,n5508
n81,n4628
n81,n5914
n81,n1380
n83,n3827
n84,n2833
n84,n5880
n84,n2984
n84,n510
n85,n5063
n85,n1854
n85,n6978
n85,n3008
n85,n5033
n85,n3355
n87,n2556
n87,n3268
n87,n4210
n89,n2359
n89,n2966
n89,n2121
n89,n632
n89,n3075
n89,n3356
n89,n3076
n89,n5632
n90,n5063
n90,n2522
n90,n92
n90,n6564
n90,n2141
n90,n832
n90,n1116
n90,n2575
n90,n4370
n90,n2421
n92,n2677
n92,n5063
n92,n1552
n92,n4341
n92,n5982
n92,n513
n92,n4631
n92,n1218
n92,n4481
n92,n1854
n92,n7179
n92,n5899
n92,n2575
n92,n1510
n92,n6978
n92,n6889
n92,n1413
n92,n3195
n92,n1093
n92,n5240
n92,n1603
n92,n643
n92,n5033
n92,n4118
n92,n5195
n92,n112
n92,n701
n92,n4370
n92,n3651
n92,n177
n92,n3698
n92,n441
n92,n832
n92,n6642
n92,n6541
n94,n3752
n97,n943
n97,n4537
n97,n4877
n97,n3439
n97,n1700
n98,n5565
n99,n5063
n99,n3885
n99,n654
n99,n5803
n99,n5964
n99,n3355
n99,n917
n100,n2396
n104,n5827
n104,n1115
n105,n6003
n106,n4932
n106,n2191
n108,n443
n108,n4177
n108,n430
n108,n896
n108,n4635
n108,n2906
n108,n481
n108,n6786
n108,n6449
n108,n2895
n108,n3275
n108,n1830
n108,n5768
n108,n1540
n108,n5204
n108,n3408
n108,n774
n108,n6432
n108,n5964
n109,n6287
n113,n920
n113,n5076
n113,n850
n113,n2359
n113,n92
n113,n3510
n113,n4181
n113,n1271
n113,n2353
n113,n4755
n113,n3008
n113,n1587
n113,n1400
n113,n4481
n113,n833
n113,n5951
n113,n6542
n113,n2767
n113,n2836
n113,n1865
n113,n6327
n113,n2295
n113,n1281
n114,n5565
n116,n5545
n116,n6465
n120,n4549
n120,n3644
n121,n1574
n121,n2671
n122,n5759
n122,n1982
n122,n2207
n123,n827
n123,n2531
n123,n3962
n123,n5520
n123,n5899
n123,n6889
n123,n2067
n123,n6060
n123,n6681
n123,n5643
n123,n3665
n123,n404
n123,n3689
n123,n2612
n123,n5736
n123,n5888
n124,n5543
n124,n5664
n124,n4998
n124,n1305
n124,n6211
n125,n4628
n125,n850
n128,n713
n128,n5063
n128,n5009
n128,n1854
n128,n6213
n128,n2945
n128,n1402
n128,n1540
n128,n5964
n128,n5033
n128,n6978
n128,n3503
n128,n3008
n128,n3355
n128,n3318
n128,n7179
n128,n6334
n128,n4083
n128,n3660
n128,n3668
n128,n917
n128,n1824
n128,n465
n128,n6320
n128,n4370
n128,n5337
n128,n902
n128,n4345
n128,n5218
n128,n3026
n128,n1603
n128,n2851
n128,n7020
n128,n5795
n128,n1130
n128,n5962
n128,n7072
n128,n5869
n128,n320
n128,n5899
n128,n6973
n128,n3019
n128,n4494
n128,n1116
n128,n4080
n130,n3709
n130,n1857
n130,n5320
n130,n6924
n130,n4319
n134,n1540
n138,n4786
n138,n1764
n138,n654
n138,n1327
n138,n2984
n138,n6309
n138,n5939
n138,n2704
n138,n6436
n138,n6978
n138,n1015
n138,n1222
n140,n2760
n140,n5063
n140,n1854
n140,n7179
n140,n2420
n140,n1977
n140,n3318
n140,n1510
n140,n1384
n140,n2575
n140,n5964
n140,n3715
n140,n4761
n140,n4029
n140,n885
n140,n6978
n140,n4902
n140,n6320
n140,n1824
n140,n4087
n140,n4196
n140,n4370
n140,n4136
n140,n5803
n140,n705
n140,n3503
n140,n5795
n140,n5357
n140,n3302
n140,n5218
n140,n17
n140,n3956
n140,n1923
n140,n3483
n140,n1291
n140,n2745
n140,n5194
n140,n5510
n140,n1353
n140,n5706
n140,n6494
n140,n4624
n140,n5116
n140,n2793
n142,n2186
n142,n4977
n142,n417
n142,n5341
n142,n5091
n144,n2121
n144,n2177
n144,n1615
n144,n2027
n144,n875
n144,n2983
n144,n3076
n144,n63
n145,n355
n145,n7163
n145,n152
n145,n5709
n145,n5140
n145,n6534
n145,n5565
n145,n6955
n145,n4885
n145,n1146
n145,n3378
n146,n3632
n146,n2831
n146,n4210
n147,n2984
n148,n5276
n148,n5722
