id,location,products
n0,Japan,Fertilizer
n1,Germany,"Feed Pump Part of Vehicle, Air Conditioner Water Temperature Sensor Part of Vehicle"
n2,Japan,Water Pump Part of Vehicle
n3,Thailand,Oil Pan Part of Vehicle
n4,Japan,Air/Fuel Management Parts Part of Vehicle
n5,Taiwan,Molten metal
n6,China,Copper
n7,China,"ETC Part of Vehicle, LPG System Part of Vehicle, Electronics Parts Part of Vehicle, Car Navigation Part of Vehicle, Turn Signal Lamp Part of Vehicle"
n8,China,"Steel slab, Coal, Steel angles"
n9,,"Lead, Lead, Refined lead"
n10,Taiwan,"Various Semiconductors Part of Vehicle, LED Part of Vehicle, LED Part of Vehicle, Telematics Communication System Part of Vehicle, Transistor Part of Vehicle, Diode Part of Vehicle, IGBT devices for Power ECU Part of Vehicle, LED Part of Vehicle, Various Semiconductors Part of Vehicle"
n11,Japan,
n12,,"Small/General Parts Part of Vehicle, Electric Power Steering Part of Vehicle, Pinion Gear Part of Vehicle, Specialty Finance, Specialty Finance"
n13,United States,"Distributor Part of Vehicle, Home Construction, Machining Part of Vehicle, Engine Structure Parts Part of Vehicle, Distributor Part of Vehicle"
n14,,"Steel, Steel, Barbed wire, Wire rods, Wire rods, Forestry, Paper & Wood Products, Wire rods, Barbed wire, Steel meshes, Steel bar, Steel bar, Hot dip galvanized sheet, Hot dip galvanized steel rolls, Railroad rails, Galvanized steel"
n15,China,"Flat bars, Black plates, Steel, Wire rod, Steel, Steel, Steel, Steel"
n16,Cayman Islands,"Asset Management, Banking"
n17,Bermuda,Asset Management
n18,South Korea,Catalytic Part of Vehicle
n19,China,Fertilizer
n20,United States,"Distributor Part of Vehicle, 4WD Transfer Part of Vehicle, Air Fuel Module Part of Vehicle, Terminal Part of Vehicle, Outside Handle Part of Vehicle, Industrial Support Services, Other Driving Support Systems Part of Vehicle, GPS Part of Vehicle"
n21,,"Coke, Semi-anthracite pulverised coal injection (pci) coal"
n22,,"Leisure Products, Leisure Products"
n23,China,"Seat Reclining Device Part of Vehicle, Seat Part of Vehicle, Assembly Part of Vehicle"
n24,,"Steel, Pulverized coal injection, Alumina hydrate"
n25,Japan,"Health Care Facilities & Svcs, Home & Office Products, Leisure Facilities & Services, Categories by Production process Part of Vehicle, Home Construction, Specialty Finance, Leisure Facilities & Services, Industrial Support Services"
n26,,"Household Products, Aluminium hydroxide, High purity, Molten metal, Bauxite, Molten metal"
n27,China,Power Steering Motor Part of Vehicle
